WORD,FREQ
aboyer,53.46
abracadabra,48.61
abracadabrant,18.58
abraham,16.29
abraracourcix,26.77
abrasion,18.70
abrège,17.92
abrégé,40.06
abrégé,22.78
abrégé,18.88
abrégeant,21.57
abrégées,17.92
abréger,20.93
abreuvait,23.76
abreuver,36.16
abreuvoir,42.16
abréviation,48.25
abréviations,48.27
abri,57.67
abricot,42.62
abricot,49.06
abricotier,37.60
abricotiers,18.98
abricots,47.74
abris,41.65
abritaient,38.90
abritait,43.34
abritant,17.15
abrite,49.43
abrité,36.74
abrité,38.97
abritée,33.22
abritée,24.26
abritent,44.30
abriter,49.43
abritons,33.45
abrupt,38.91
abrupte,38.86
abruptes,34.65
abruti,22.78
abrutie,20.70
abrutie,20.70
abrutis,16.96
absence,52.43
absences,23.76
absent,48.44
absent,37.58
absentait,21.57
absente,41.65
absente,21.57
absenté,34.35
absentée,22.65
absentent,18.70
absenter,40.38
absentes,19.90
absentez,33.11
absents,43.12
absolu,42.24
absolu,22.78
absolue,41.13
absolument,55.70
absorba,19.40
absorbait,21.90
absorbant,21.91
absorbante,22.78
absorbants,33.22
absorbe,36.57
absorbé,19.90
absorbé,41.00
absorbée,33.03
absorbée,23.33
absorber,43.15
absorbés,18.70
absorbés,36.64
abstenir,33.07
abstention,34.55
abstentions,21.90
abstenu,23.76
abstient,18.70
abstint,23.76
abstrait,33.36
absurde,41.70
absurdes,19.40
absurdité,25.66
absurdités,23.76
abuse,32.94
abuser,39.70
abuserait,21.90
abuseras,21.90
abusez,22.65
abusif,33.20
acacia,43.25
acacias,39.60
académiciens,19.62
académie,45.23
académies,39.88
académique,21.65
académiques,23.76
acadie,21.17
acajou,33.45
acante,27.19
acariens,23.33
accabla,19.77
accablait,37.74
accablante,21.90
accable,33.14
accablé,24.18
accablé,27.27
accablée,19.61
accablée,20.70
accablement,21.90
accalmie,33.10
accalmies,23.33
accaparé,22.65
accastillage,25.66
accéder,42.96
accéléra,36.62
accélérait,36.64
accélérant,32.92
accélérateur,33.24
accélération,33.07
accélère,44.74
accéléré,38.83
accélérée,19.40
accélèrent,22.78
accélérer,45.62
accélérerait,19.94
accélérèrent,23.33
accélérons,19.40
accent,55.75
accents,52.38
accentuant,23.76
accentue,39.68
accentuer,23.76
accentués,23.81
accentués,33.42
accepta,50.77
acceptaient,23.81
acceptait,38.90
acceptant,19.62
acceptation,19.61
accepte,53.46
accepté,45.66
acceptée,33.06
acceptées,21.17
acceptent,43.44
accepter,49.79
acceptera,34.67
accepterai,32.93
accepteraient,32.99
accepterais,23.76
accepterait,33.31
acceptèrent,34.79
accepteriez,33.09
accepteront,16.38
acceptes,36.64
acceptés,21.16
acceptez,32.95
acception,25.66
accès,49.25
accessible,39.72
accessoire,20.64
accessoire,39.58
accessoires,46.49
accessoires,32.97
accident,57.86
accidenté,39.36
accidenté,23.33
accidentée,23.33
accidentée,19.29
accidentées,20.84
accidentés,19.77
accidentés,21.63
accidents,50.60
acclama,20.82
acclamation,21.90
acclamations,38.93
acclame,21.65
acclamé,14.84
acclament,22.78
acclamer,33.10
acclamèrent,23.76
acclimatait,23.76
acclimater,23.76
accolade,33.30
accolées,21.57
accolés,19.61
accommoder,23.33
accommoderait,21.90
accommodés,23.33
accommodez,20.94
accompagna,42.24
accompagnai,22.65
accompagnaient,40.44
accompagnais,33.36
accompagnait,40.41
accompagnant,43.57
accompagnateur,17.92
accompagne,54.67
accompagné,53.42
accompagné,40.37
accompagnée,46.59
accompagnées,41.06
accompagnement,21.63
accompagnent,50.06
accompagner,52.43
accompagnera,36.68
accompagnerait,23.81
accompagnèrent,21.65
accompagnerez,21.57
accompagnerons,33.11
accompagneront,32.97
accompagnes,38.78
accompagnés,47.53
accompagnés,36.60
accompagnez,36.80
accompagnons,17.92
accompli,36.80
accompli,46.19
accomplie,35.52
accomplie,36.84
accomplies,40.25
accomplir,49.74
accomplira,21.57
accomplis,32.95
accomplis,36.72
accomplissait,36.81
accomplissant,33.31
accomplissement,24.26
accomplissent,38.85
accomplit,45.07
accord,61.58
accorda,22.65
accordait,23.81
accordant,43.84
accorde,57.61
accordé,41.77
accordées,22.95
accordent,47.90
accordéon,51.30
accordéoniste,24.91
accorder,47.83
accordera,22.65
accorderai,21.65
accorderas,38.97
accordèrent,21.90
accordes,32.98
accordeur,26.77
accordez,21.63
accordons,38.84
accords,53.10
accosta,21.16
accostaient,33.17
accostant,24.26
accosté,21.63
accostent,33.17
accoster,21.63
accota,24.26
accotement,18.88
accotèrent,23.33
accoucha,21.16
accouchement,22.78
accouda,33.11
accoudé,19.90
accoudoir,33.30
accoudoirs,21.57
accouple,22.65
accoupler,18.58
accouraient,36.66
accourait,41.07
accourent,17.62
accourez,21.91
accourions,21.90
accourir,45.49
accourraient,20.94
accours,21.16
accourt,44.87
accourue,20.94
accourûmes,24.26
accoururent,46.87
accourus,32.98
accourut,47.09
accoutré,33.36
accoutrer,21.90
accoutumé,22.62
accoutumée,41.09
accoutumée,34.61
accroc,34.60
accrocha,40.43
accrochage,37.78
accrochai,20.94
accrochaient,33.34
accrochait,45.01
accrochant,45.01
accroche,52.33
accroche,32.90
accroché,53.12
accroché,21.63
accrochée,46.81
accrochées,18.37
accrochées,39.67
accrochent,41.62
accrocher,51.15
accrochera,21.91
accrocherai,20.70
accrocherais,18.70
accrocherait,18.38
accrochèrent,33.02
accrocherez,23.81
accroches,33.50
accrochés,43.93
accrochés,20.82
accrochez,20.84
accroît,23.81
accroître,38.82
accroupi,45.67
accroupi,38.84
accroupie,41.10
accroupir,36.90
accroupis,37.69
accroupis,42.22
accroupit,46.23
accrut,33.50
accueil,52.51
accueillait,33.13
accueillant,37.72
accueillant,23.76
accueillante,41.06
accueillantes,32.98
accueille,48.10
accueillent,43.50
accueillera,36.62
accueillerai,19.71
accueillerait,24.92
accueilleront,21.63
accueilles,23.33
accueilli,47.74
accueillie,40.43
accueillir,50.90
accueillirent,38.78
accueillis,40.46
accueillit,43.66
accueillons,23.81
acculé,19.71
acculer,19.62
accumula,20.64
accumulaient,32.94
accumulait,33.16
accumulateur,21.17
accumulation,37.76
accumule,37.50
accumulé,36.69
accumulent,36.65
accumulés,20.94
accus,30.48
accusa,17.92
accusait,24.64
accusation,42.06
accusations,19.61
accuse,43.98
accusé,46.05
accusé,34.51
accusé,44.03
accusent,33.04
accuser,36.60
accuses,19.77
accusés,21.90
acerbe,20.93
acéré,23.81
acéré,19.40
acérée,20.87
acérées,41.05
acérés,22.65
achab,33.76
achalandée,23.76
acharne,22.65
acharné,33.30
acharné,33.30
acharnée,22.78
acharnées,21.63
acharnement,34.85
acharnent,23.76
acharnés,24.26
achat,48.55
achats,50.74
ache,24.92
acheminé,19.40
acheminée,25.66
acheminement,32.94
acheminer,23.76
acheminèrent,18.70
acheta,49.93
achetai,33.41
achetaient,33.24
achetait,39.61
achetâmes,21.65
achète,56.94
acheté,57.76
achetée,43.50
achetées,32.87
achètent,44.89
acheter,60.26
achètera,41.60
achèterai,44.90
achèteraient,19.61
achèterait,34.58
achèteras,19.29
achetèrent,40.41
achèterez,26.34
achèterons,33.21
achètes,43.23
achetés,41.73
acheteur,42.60
acheteurs,42.18
achetez,46.53
achetiez,22.65
achetions,16.14
achetons,43.95
acheva,42.23
achevaient,33.28
achevait,45.31
achevant,23.95
achevât,25.66
achève,40.35
achevé,44.62
achevé,40.41
achevée,33.19
achevée,33.18
achevées,19.22
achevées,22.78
achèvent,25.66
achever,48.30
achèvera,34.67
achevèrent,23.76
achevés,33.41
achevez,23.76
achille,37.68
achoppe,21.16
achopper,21.16
achraf,35.09
acide,43.09
acide,35.72
acides,33.13
acides,36.96
acidité,25.93
acidulé,24.17
acidulés,21.16
acier,52.89
aciérie,17.92
acolyte,23.81
acompte,36.81
aconit,21.89
acoustique,27.27
acoustiques,20.84
acquéreur,21.65
acquérir,42.71
acquiesça,41.75
acquiesçai,22.78
acquiesce,21.91
acquiescé,24.26
acquiescer,19.61
acquis,24.17
acquis,40.40
acquise,24.26
acquises,23.76
acquisition,36.69
acquisitions,20.64
acquittai,21.65
acquitte,21.63
acquitté,24.26
acquitter,38.32
âcre,38.82
âcreté,23.81
acrobate,51.09
acrobates,47.21
acrobatie,41.81
acrobaties,45.81
acrobatique,40.43
acrobatiques,32.97
acropole,24.91
acrylique,39.52
acte,49.25
actes,41.09
acteur,52.12
acteurs,53.84
actif,47.10
actif,41.64
actifs,21.71
actifs,18.70
action,57.96
actionnant,20.64
actionne,40.05
actionner,23.81
actions,54.37
activait,33.01
active,50.36
active,37.62
activement,34.72
activer,38.78
actives,43.16
activité,52.27
activités,53.67
actrice,46.06
actrices,19.77
actualité,44.56
actualités,40.40
actuel,45.05
actuelle,43.93
actuellement,48.59
actuelles,33.21
actuels,42.20
acupuncteur,27.93
acupuncteurs,27.93
acupuncture,34.46
acus,28.72
adam,40.63
adapta,33.35
adaptables,21.16
adaptait,23.76
adaptation,42.23
adaptations,21.63
adapte,38.79
adapté,41.64
adaptée,33.12
adaptées,37.65
adapter,43.19
adaptés,40.13
addition,51.43
additionne,19.29
additionné,20.70
additionner,36.61
additionnez,22.65
additions,42.61
adélaide,19.61
adélaïde,43.93
adèle,47.68
adeline,44.43
adelphe,16.29
adéquat,37.83
adéquate,22.65
adéquats,25.66
ader,32.97
adhérent,17.15
adhérents,27.42
adhérer,22.78
adhésif,45.26
adhésif,19.71
adhésion,37.79
adhésions,22.65
adhésive,35.54
adieu,51.27
adieu,49.26
adieux,41.32
adjectif,61.25
adjectif,50.90
adjectifs,59.87
adjectifs,48.18
adjo,27.27
adjoindre,23.76
adjoint,36.68
adjoint,21.65
adjointe,23.81
adjoints,23.81
adjonction,21.65
adjudant-chef,23.33
adjudication,34.55
admet,41.05
admettaient,27.27
admettait,33.27
admettant,22.65
admettent,23.81
admettons,37.68
admettre,45.79
administra,22.78
administrateurs,22.65
administratif,33.42
administratifs,33.30
administration,46.32
administrative,26.82
administrativement,20.70
administratives,33.32
administre,21.57
administrer,33.11
administrés,21.65
admira,43.65
admirable,47.68
admirablement,44.71
admirables,36.74
admiraient,33.24
admirais,40.45
admirait,43.17
admirant,38.86
admirateur,34.60
admirateurs,38.89
admiratif,36.72
admiration,52.86
admirative,23.81
admiratives,21.65
admiratrice,23.76
admire,49.31
admiré,43.12
admirées,24.92
admirent,43.51
admirer,52.65
admirera,21.91
admirèrent,34.68
admireront,26.77
admires,21.65
admirés,23.81
admirez,20.82
admirons,33.17
admis,41.61
admise,23.33
admit,41.05
adolescence,33.11
adolescent,40.46
adolescente,33.26
adolescents,33.36
adolescents,40.21
adolphe,32.88
adonis,19.77
adonner,22.65
adopta,19.71
adoptant,33.16
adopte,38.81
adopté,46.71
adopté,19.61
adoptée,40.09
adopter,47.07
adoptèrent,24.26
adoptes,19.77
adoptés,33.18
adoptif,22.65
adoption,40.09
adoptive,34.77
adoptons,20.82
adora,21.38
adorable,44.46
adorables,33.01
adoraient,40.34
adorais,21.16
adorait,47.56
adorant,21.91
adoration,39.70
adore,55.37
adoré,40.44
adorée,19.94
adorent,41.59
adorer,39.64
adorerait,21.57
adoreront,20.64
adores,32.86
adossant,21.91
adossé,36.66
adossée,38.84
adosser,33.27
adossèrent,19.62
adossés,22.65
adoubement,32.98
adouci,22.65
adouci,21.57
adoucie,20.94
adoucir,43.16
adoucira,21.90
adouciront,21.16
adoucissant,36.66
adoucit,36.58
adour,21.17
adressa,47.17
adressai,23.81
adressaient,21.65
adressais,23.76
adressait,40.46
adressant,47.21
adresse,56.91
adresse,53.97
adressé,42.21
adressée,40.16
adressent,42.75
adresser,48.16
adressera,21.63
adresses,44.24
adressés,22.78
adressez,33.27
adressiez,21.63
adrien,50.47
adrienne,15.06
adroit,52.07
adroite,43.95
adroitement,40.41
adroites,21.57
adroits,41.00
adulte,47.13
adulte,48.81
adultes,50.68
adultes,43.59
adverbe,52.66
adverbes,52.40
adversaire,52.59
adversaires,49.30
adverse,44.64
adverses,35.91
adversité,21.91
advint,37.80
aède,21.90
aèdes,21.90
aérait,34.51
aérateur,35.15
aération,37.69
aère,21.57
aéré,37.68
aéré,24.26
aèrent,18.38
aérer,43.93
aérés,23.81
aérez,22.65
aérien,41.10
aérienne,43.15
aériennes,32.91
aériens,41.04
aérodrome,39.63
aérodynamique,24.92
aérofuseur,24.17
aéroglisseur,19.61
aéronaute,20.93
aéronautique,33.28
aéronef,22.69
aéroplane,33.19
aéroplanes,18.38
aéroport,49.74
aéroports,38.87
aérosol,23.87
aérosols,14.84
affable,24.26
affaibli,18.88
affaibli,21.17
affaiblie,33.36
affaiblie,24.26
affaiblir,33.32
affaiblis,20.70
affaiblit,21.63
affairaient,18.18
affairait,40.38
affaire,57.24
affaire,40.34
affairé,36.69
affairé,33.25
affairées,33.06
affairent,33.30
affairer,32.84
affaires,56.14
affairés,33.28
affairés,21.17
affaissa,41.10
affaisse,21.57
affaissée,25.79
affaissent,18.58
affaissèrent,24.26
affalait,21.57
affalé,32.95
affalée,22.65
affaler,34.68
affame,23.76
affamé,44.61
affamé,49.37
affamée,32.97
affamée,24.26
affamée,13.84
affamées,24.26
affamés,40.51
affamés,33.22
affectation,37.67
affecté,21.17
affecté,39.65
affectée,21.63
affection,48.27
affectionne,33.11
affectionner,17.92
affectueuse,42.23
affectueusement,38.80
affectueuses,18.98
affectueux,47.03
affermie,24.26
afféteries,21.17
afficha,19.90
affichage,43.60
affichais,21.16
affichait,18.37
affiche,58.03
affiche,45.09
affiché,39.63
affichée,33.22
affichent,38.91
afficher,42.77
affiches,52.80
affiches,32.75
affichette,35.59
afficheur,24.18
affilé,21.91
affilée,17.15
affinage,22.91
affiner,19.90
affinera,17.62
affinité,21.65
affirma,49.07
affirmai,23.81
affirmait,41.17
affirmant,33.50
affirmatif,40.41
affirmation,46.07
affirmations,45.60
affirmative,49.90
affirmative,33.45
affirmativement,20.94
affirmatives,45.72
affirme,50.08
affirmé,40.38
affirment,38.70
affirmer,47.11
affirmèrent,21.65
affirmes,23.81
affleure,34.66
afflige,21.63
affligé,23.81
affligé,20.94
affligea,21.65
affligée,19.22
affligées,17.92
affligez,19.22
affluence,21.65
affluent,37.75
affluent,23.81
affluer,28.89
afflux,34.38
affola,36.58
affolaient,23.76
affolait,23.76
affolant,21.63
affole,45.30
affolé,47.39
affolé,39.64
affolée,47.99
affolée,36.61
affolées,42.26
affolées,23.76
affolement,43.49
affolent,41.03
affoler,42.20
affolés,41.62
affolés,38.79
affolez,33.09
affranchi,20.94
affranchie,20.70
affranchir,40.46
affranchissement,37.60
affranchit,20.94
affreuse,46.11
affreusement,42.57
affreuses,39.61
affreux,54.30
affreux,46.85
affriandée,33.11
affront,21.90
affronta,34.60
affrontant,24.26
affronte,36.68
affronté,36.69
affrontement,36.71
affrontent,22.65
affronter,48.65
affublé,22.65
affublé,33.22
affût,49.61
affûte,15.06
affûté,23.33
afghan,21.91
afghanistan,24.92
afghans,21.91
afin,41.05
afin d',51.11
afin de,56.51
afin qu',48.00
afin que,49.98
afp,27.65
africain,38.83
africain,32.98
africaine,39.66
africaine,33.17
africaines,33.22
africains,40.41
africains,23.81
afrique,58.28
agaçait,33.02
agaçant,40.09
agaçante,18.88
agaçants,33.50
agace,32.90
agace,21.57
agacé,38.79
agacée,36.59
agacement,27.27
agacent,36.61
agacer,40.41
agaces,36.60
agacez,23.33
agadez,21.91
agamemnon,24.91
agate,40.42
agates,35.87
agathe,47.43
agave,20.64
âge,61.37
âgé,52.28
âgée,45.64
âgées,46.81
agen,33.20
agence,48.40
agences,40.42
agenda,42.91
agénor,24.66
agenouilla,41.05
agenouille,33.00
agenouillé,33.12
agenouillée,24.26
agenouillée,37.64
agenouillèrent,21.65
agent,57.59
agents,48.86
âges,42.79
âgés,44.90
agf,21.06
agglomération,42.64
agglomérations,23.33
agglomérées,23.33
agglomèrent,24.26
agglomérer,23.81
agglutinante,23.33
agglutiner,23.81
aggravait,36.68
aggravation,21.57
aggrave,34.81
aggravé,21.65
aggravent,20.70
aggraver,43.49
agi,44.62
agile,51.70
agilement,21.16
agiles,41.05
agilité,45.65
agir,54.57
agira,33.12
agiront,22.78
agis,34.81
agissaient,24.26
agissait,51.72
agissant,37.70
agisse,36.70
agissent,33.25
agissez,22.78
agissons,33.32
agit,59.14
agita,46.87
agitai,24.26
agitaient,42.76
agitait,49.31
agitant,50.21
agitation,49.36
agitations,22.65
agite,51.92
agité,38.79
agité,39.65
agité,39.66
agitée,38.64
agitée,45.26
agitées,38.89
agitées,34.43
agitent,43.94
agiter,51.05
agiterai,21.90
agitèrent,21.90
agités,33.07
agités,34.68
agitions,21.91
agitons,21.65
aglaé,36.97
agnan,47.56
agneau,55.53
agneaux,43.92
agnelets,21.17
agnelles,21.16
agnès,39.55
agonie,23.95
agonir,18.18
agonisait,23.76
agonisant,24.26
agonisante,18.18
agoniser,19.77
agrafe,19.22
agrafe,21.57
agrafées,17.92
agrafer,38.80
agrafes,23.33
agrafeuse,39.61
agrafez,24.17
agrandi,36.65
agrandie,39.60
agrandir,47.30
agrandirait,22.63
agrandis,41.00
agrandissement,19.94
agrandit,36.56
agréable,57.03
agréablement,38.76
agréables,47.23
agréé,23.81
agréer,33.26
agréés,37.69
agrément,33.30
agrémentée,15.06
agrémenter,35.49
agrès,28.64
agressent,23.76
agresseur,40.30
agresseurs,24.26
agressif,40.45
agressifs,19.40
agressive,24.26
agressives,22.65
agressivité,23.81
agricole,42.18
agricoles,37.81
agriculteur,45.71
agriculteurs,36.78
agriculture,43.95
agrippa,38.89
agrippai,22.65
agrippait,33.18
agrippant,38.85
agrippe,42.29
agrippé,38.77
agrippée,22.65
agrippées,21.90
agripper,36.69
agrippèrent,36.69
agrippés,20.82
agrippeuse,21.17
agrippions,18.98
agronome,36.77
agronomes,23.76
agronomiques,21.17
agrume,36.74
agrumes,33.20
ah,64.91
aharoni,23.94
ahmed,30.46
ahuri,42.16
ahuri,39.56
ahuri,37.73
ahurie,37.63
ahuris,19.90
ahuris,32.99
ahuris,18.70
ahurissants,26.34
ai,72.35
aïcha,38.72
aida,46.18
aidai,20.82
aidaient,34.59
aidait,47.91
aidant,53.95
aide,59.28
aide,61.61
aidé,49.40
aide-cuisinier,28.58
aidée,40.48
aide-mémoire,37.74
aident,49.09
aider,61.36
aidera,43.10
aiderai,45.71
aiderais,32.97
aiderait,20.70
aideras,19.22
aidèrent,36.67
aiderez,33.13
aideront,42.22
aides,42.62
aides,41.58
aidés,42.53
aidez,44.08
aidiez,17.05
aidions,23.81
aie,54.22
aïe,50.68
aient,50.53
aies,47.01
aïeul,42.39
aïeule,20.82
aïeux,36.72
aigle,55.32
aigles,47.65
aiglon,32.98
aigre,40.39
aigrefin,23.33
aigres,21.91
aigrette,21.17
aigrette,24.26
aigrettes,22.23
aigreur,33.11
aigris,21.65
aigu,49.42
aigu,39.60
aiguë,47.30
aigue-marine,23.76
aiguës,44.35
aiguillage,33.13
aiguillages,20.64
aiguille,55.25
aiguille,20.87
aiguille,20.16
aiguillée,23.76
aiguiller,23.76
aiguillerie,23.76
aiguilles,53.41
aiguilles,20.94
aiguilleter,23.76
aiguilleur,21.65
aiguillon,40.15
aiguillon,21.57
aiguise,39.66
aiguisées,21.17
aiguisent,18.18
aiguiser,38.84
aigus,45.21
ail,48.86
aile,56.26
ailé,18.37
aileron,35.31
ailerons,41.73
ailes,60.50
ailés,36.62
ailette,18.88
ailettes,34.49
ailier,38.41
aille,51.50
aillent,36.80
ailles,43.16
ailleurs,59.61
aima,32.92
aimable,54.95
aimablement,44.52
aimables,42.16
aimaient,51.92
aimais,50.14
aimait,58.78
aimant,16.38
aimant,34.69
aimant,36.55
aimantation,21.90
aimante,21.90
aimantée,21.90
aimants,21.16
aimants,22.62
aime,65.36
aimé,54.17
aimé,44.34
aimée,38.81
aimée,35.90
aimée,33.16
aiment,56.37
aimer,53.50
aimerai,34.66
aimeraient,39.66
aimerais,57.12
aimerait,51.80
aimeras,33.12
aimèrent,32.94
aimeriez,43.11
aimerions,39.69
aimerons,19.22
aimeront,20.64
aimery,21.65
aimes,55.63
aimés,18.18
aimés,18.38
aimez,49.93
aimiez,19.62
aimons,47.08
ain,20.94
aîné,49.85
aîné,47.95
aînée,41.42
aînée,42.56
aînés,26.82
aînés,42.03
aînesse,22.78
ainsi,65.42
air,67.72
air france,34.48
airain,36.38
airbus,40.43
aire,45.12
airelles,21.90
aires,36.64
airial,24.91
airs,54.12
aisance,45.10
aise,52.69
aise,40.40
aisé,38.84
aisée,34.48
aisées,23.81
aisément,46.43
aises,24.92
aisne,16.38
aisselle,24.26
aisselles,23.33
ait,57.83
aix,36.53
aix-en-provence,36.56
ajaccio,37.51
ajoncs,36.68
ajouré,21.65
ajourée,23.33
ajourés,21.65
ajournées,21.90
ajourner,21.90
ajouta,55.39
ajoutai,33.32
ajoutaient,36.61
ajoutait,45.84
ajoutant,53.33
ajoute,59.76
ajouté,49.92
ajouté,38.82
ajoutée,21.63
ajoutées,21.57
ajoutent,43.53
ajouter,55.47
ajoutera,26.40
ajouterai,33.28
ajouteras,32.89
ajoutèrent,33.10
ajoutes,43.09
ajoutés,40.39
ajoutez,47.61
ajoutons,33.03
ajusta,36.60
ajustant,24.91
ajuste,22.78
ajusté,33.06
ajusté,23.81
ajustée,33.17
ajustée,21.91
ajuster,33.02
ajusteur,36.92
ajustez,21.63
akavak,30.32
akela,16.29
akka,29.27
al,36.31
aladin,19.22
alain,55.57
alain delon,29.83
alarme,46.41
alarmé,33.12
alarmer,21.65
alarmes,21.90
alarmés,34.50
alaska,43.42
alaskans,19.30
alban,36.28
albanie,17.15
albaroubeira,19.90
albâtre,21.65
albatros,40.43
albert,49.46
albert-herbert,32.01
albertine,24.17
albertville,22.65
albinos,27.42
albinos,25.66
album,50.68
albums,47.54
alcalines,25.79
alceste,52.82
alchimiste,36.23
alcinoos,28.89
alcool,48.66
alcoolisé,33.13
alcoolisée,33.50
alcoolisées,23.33
alcoolisme,24.26
alcôve,21.90
aldébaran,21.17
aldrin,41.90
alémanique,24.91
alémanique,21.90
alençon,21.16
alêne,35.51
alênes,33.31
alènois,21.91
alentour,44.63
alentours,47.18
alep,17.92
alerta,24.26
alerte,43.48
alerte,38.80
alerte,46.69
alerte,21.90
alerté,32.94
alerté,36.64
alertée,21.57
alerter,41.03
alertes,33.32
alertés,38.80
alertés,38.89
alès,22.78
alésia,38.93
alevins,23.33
alex,45.06
alexandra,26.34
alexandre,53.34
alexandrie,20.87
alexandrins,33.26
alexis,51.04
alezans,36.76
alfred,45.47
alfredo,25.66
algèbre,23.76
alger,39.68
algérie,44.70
algérien,33.05
algériennes,21.91
algériens,22.78
algériens,22.30
algonquin,20.64
algue,46.58
algues,50.98
ali,43.53
ali baba,43.45
alias,21.63
alibi,21.63
alice,55.46
aliénor,25.64
aligna,21.90
alignai,22.78
alignaient,43.51
aligne,40.34
alignée,29.03
alignées,33.16
alignées,32.94
alignement,33.17
alignements,22.65
alignent,36.65
aligner,43.02
alignèrent,24.26
alignés,44.17
alignés,36.73
alignez,16.93
aliment,48.96
alimentaire,42.57
alimentaires,42.64
alimentait,33.12
alimentant,18.70
alimentation,50.37
alimente,36.63
alimenté,19.61
alimentées,22.78
alimenter,44.07
alimenter,20.16
alimentés,21.91
aliments,55.43
aline,43.00
alité,21.57
alix,21.90
alizés,23.33
alla,60.61
allah,34.46
allai,46.96
allaient,56.58
allais,55.52
allait,62.47
allaitait,18.18
allaite,40.35
allaité,21.57
allaitent,33.06
allaiter,39.57
allâmes,36.74
allant,53.83
allant,41.06
allant,40.41
allât,36.60
allé,60.19
alléchant,18.88
alléchants,23.76
alléché,42.64
allée,55.55
allée,54.02
allées,50.11
allées,50.48
allège,19.94
allégement,20.84
alléger,39.63
allégerait,21.63
allégoriques,21.65
allègrement,39.64
allégresse,43.82
allégro,17.62
alléluia,24.26
allemagne,50.33
allemand,45.15
allemand,45.41
allemande,45.43
allemands,33.09
allemands,46.93
aller,66.90
aller,55.65
allèrent,51.75
allergie,34.38
allergies,14.84
aller-retour,42.74
allers-retours,18.38
allés,56.16
allez,61.98
alliage,21.16
alliance,40.53
allié,33.09
alliées,22.65
allier,33.19
alliés,21.90
alliés,40.64
alliez,46.40
alligator,46.53
alligators,37.29
allions,48.73
allitération,28.10
allitérations,30.32
allô,54.38
allocations,23.81
allonge,50.22
allonge,33.11
allongé,50.25
allongé,47.43
allongea,49.95
